chrom	length	centromerStart	centromerEnd	cumlen
chr1	248956422	121535434	124535434	0
chr2	242193529	92326171	95326171	248956422
chr3	198295559	90504854	93504854	491149951
chr4	190214555	49660117	52660117	689445510
chr5	181538259	46405641	49405641	879660065
chr6	170805979	58830166	61830166	1061198324
chr7	159345973	58054331	61054331	1232004303
chr8	145138636	43838887	46838887	1391350276
chr9	138394717	47367679	50367679	1536488912
chr10	133797422	39254935	42254935	1674883629
chr11	135086622	51644205	54644205	1808681051
chr12	133275309	34856694	37856694	1943767673
chr13	114364328	16000000	19000000	2077042982
chr14	107043718	16000000	19000000	2191407310
chr15	101991189	17000000	20000000	2298451028
chr16	90338345	35335801	38335801	2400442217
chr17	83257441	22263006	25263006	2490780562
chr18	80373285	15460898	18460898	2574038003
chr19	58617616	24681782	27681782	2654411288
chr20	64444167	26369569	29369569	2713028904
chr21	46709983	11288129	14288129	2777473071
chr22	50818468	13000000	16000000	2824183054
chrX	156040895	58632012	61632012	2875001522
chrY	57227415	10104553	13104553	3031042417
